SYSTEM_ID,TOTAL_INVOICES,UNPAID_INVOICES,LATE_INVOICES,PERCENTAGE_UNPAID_INVOICES,PERCENTAGE_LATE_INVOICES,MID_YEAR_PCT,FINAL_YEAR_PCT,FROM_ACTIVE,FROM_WITHDRAWN,IS_REINSTATED,Total_Days_Recorded,Present_Days,Attendance_Percentage,RO_PRIM_DESC,RO_SECN_DESC,CHURN
140724,37,13,14,35.1351351351351,37.8378378378378,54.32,56.4827586206897,1,1,1,338,224,66.27,Initiated By School ,Unreachable ,1
140926,12,5,6,41.6666666666667,50,88.8571428571429,83.8947368421053,1,,0,154,115,74.68,,,0
141189,13,0,0,0,0,42.1538461538462,48.7567567567568,1,,0,156,140,89.74,,,0
141231,12,0,0,0,0,76,78.4864864864865,1,,0,163,157,96.32,,,0
142163,32,13,12,40.625,37.5,50.1538461538462,55.1351351351351,1,1,1,312,216,69.23,Initiated By School ,Unreachable ,1
142229,12,0,0,0,0,88.2,92.6,1,,0,166,151,90.96,,,0
142450,12,3,4,25,33.3333333333333,80.96,78.0540540540541,1,,0,153,137,89.54,,,0
142504,12,2,3,16.6666666666667,25,79.7142857142857,71.1578947368421,1,,0,165,107,64.85,,,0
142658,12,3,5,25,41.6666666666667,83.3846153846154,77.8378378378378,1,,0,171,148,86.55,,,0
142804,12,0,0,0,0,96.2,97.1,1,,0,151,142,94.04,,,0
142850,12,0,2,0,16.6666666666667,74.3333333333333,80.5263157894737,1,,0,168,155,92.26,,,0
143014,10,4,5,40,50,67.4285714285714,65.2631578947369,1,,0,136,105,77.21,,,0
143586,12,5,5,41.6666666666667,41.6666666666667,93.2307692307692,91.3513513513514,1,,0,156,149,95.51,,,0
